Paper_ID,ML_Condition_ID,Observation_IDs,Review_Aspect,Current_Parent_Experiment_ID,Current_Grouping_Confidence,Evidence_Type,Evidence_Location,Page,Figure_Table,Verification_Status,Reviewer_Notes
P006,P006_MC01,OBS030,specimen identity,P006_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC01,OBS030,replicate identity,P006_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC01,OBS030,condition identity,P006_PE01,LOW,processing/test condition in source,recovery Conditions/Provenance sheets,,,VERIFIED_KEEP_SEPARATE,Distinct composition or annealing duration verifies a distinct ML condition; current conservative parent remains unchanged.
P006,P006_MC01,OBS030,test-series linkage,P006_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC01,OBS030,deformation-stage linkage,P006_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC02,OBS031,specimen identity,P006_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC02,OBS031,replicate identity,P006_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC02,OBS031,condition identity,P006_PE02,LOW,processing/test condition in source,recovery Conditions/Provenance sheets,,,VERIFIED_KEEP_SEPARATE,Distinct composition or annealing duration verifies a distinct ML condition; current conservative parent remains unchanged.
P006,P006_MC02,OBS031,test-series linkage,P006_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC02,OBS031,deformation-stage linkage,P006_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC03,OBS032,specimen identity,P006_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC03,OBS032,replicate identity,P006_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC03,OBS032,condition identity,P006_PE03,LOW,processing/test condition in source,recovery Conditions/Provenance sheets,,,VERIFIED_KEEP_SEPARATE,Distinct composition or annealing duration verifies a distinct ML condition; current conservative parent remains unchanged.
P006,P006_MC03,OBS032,test-series linkage,P006_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P006,P006_MC03,OBS032,deformation-stage linkage,P006_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC01,OBS033,specimen identity,P007_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC01,OBS033,replicate identity,P007_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC01,OBS033,condition identity,P007_PE01,LOW,processing/test condition in source,recovery Conditions/Provenance sheets,,,VERIFIED_KEEP_SEPARATE,Distinct composition or annealing duration verifies a distinct ML condition; current conservative parent remains unchanged.
P007,P007_MC01,OBS033,test-series linkage,P007_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC01,OBS033,deformation-stage linkage,P007_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
