Paper_ID,DOI,Scope,Temperature_K,Feature,Value,Units,Method,Value_Status,Model_or_Reference_Scope,Evidence_Location,Confidence,Interpretation_Rule,Source_URL
P015,10.1016/j.jallcom.2026.188919,Fe50Mn20Cr20Ni10 alloy-level,298,SFE,36.62,mJ/m2,Molecular dynamics using Daramola interatomic potential in LAMMPS,CURRENT_PAPER_MD_CALCULATED,Temperature-specific alloy-level computational value,"Sec.2.4 + Sec.4.3; Fig.11; pp.2,9",High,Do not label as experimental SFE. Keep separate from thermodynamic literature comparisons.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Fe50Mn20Cr20Ni10 alloy-level,77,SFE,10.97,mJ/m2,Molecular dynamics using Daramola interatomic potential in LAMMPS,CURRENT_PAPER_MD_CALCULATED,Temperature-specific alloy-level computational value,"Sec.2.4 + Sec.4.3; Fig.11; pp.2,9",High,Do not label as experimental SFE.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model,77,Twin_critical_normal_growth_stress,440,MPa,Analytical critical-stress model; Taylor factor applied,CURRENT_PAPER_CALCULATED,Model uses literature/assumed parameters,Sec.4.3 p.11; Eq.5,High,"Model-derived threshold, not directly measured onset stress.",https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model,298,Twin_critical_normal_growth_stress,658,MPa,Analytical critical-stress model; Taylor factor applied,CURRENT_PAPER_CALCULATED,Model uses literature/assumed parameters,Sec.4.3 p.11; Eq.5,High,Paper states 298 K analytical predictions do not match the engineering curve well; preserve limited validity.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model,77,Epsilon_martensite_critical_normal_growth_stress,742,MPa,Analytical critical-stress model; Taylor factor applied,CURRENT_PAPER_CALCULATED,Model uses literature/assumed parameters,Sec.4.3 p.11; Eq.4,High,Model-derived threshold. Authors infer TRIP activation at ~12% strain at 77 K.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model,298,Epsilon_martensite_critical_normal_growth_stress,745,MPa,Analytical critical-stress model; Taylor factor applied,CURRENT_PAPER_CALCULATED,Model uses literature/assumed parameters,Sec.4.3 p.11; Eq.4,High,Do not use this to override experimental TRIP=0 at 298 K; authors note poor 298 K agreement.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model inference,77,TWIP_onset_interpretation,Immediately upon plastic deformation,,MODEL_CURVE_INFERENCE,CURRENT_PAPER_INFERRED,Derived by correlating critical twin stress with tensile curve,Sec.4.3 p.11,High,Do not convert to a direct experimental onset strain unless explicitly measured.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model inference,77,TRIP_onset_strain,12,% strain,MODEL_CURVE_INFERENCE,CURRENT_PAPER_INFERRED,Derived by correlating critical martensite stress with tensile curve,Sec.4.3 p.11,High,Approximate inferred onset; not an interrupted experimental observation.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77,b_tr,1.47e-10,m,Analytical model input,MODEL_INPUT,Table 2 parameter,Table 2 p.11,High,Burgers-vector parameter for martensite growth model.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77,L_tr,1.73e-07,m,Analytical model input,MODEL_INPUT,Table 2 parameter,Table 2 p.11,High,Martensite nucleus width parameter.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77,b_tw,1.2e-10,m,Analytical model input,MODEL_INPUT,Table 2 parameter,Table 2 p.11,High,Shockley-partial Burgers-vector parameter for twin model.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77,L_tw,2.6e-07,m,Analytical model input,MODEL_INPUT,Table 2 parameter,Table 2 p.11,High,Twin nucleus width parameter.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77,Shear_modulus_G,81.8,GPa,Analytical model input,MODEL_INPUT,Current paper Table 2; source provenance partly literature-based,Table 2 p.11,High,"Model input, not a direct experimental property.",https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77,Martensite_nucleus_height_h,1e-06,m,Analytical model input,MODEL_INPUT,Table 2 parameter,Table 2 p.11,High,Model geometry input; not a measured microstructural dimension.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77,Gamma_SF,10.97,mJ/m2,Analytical model input,MODEL_INPUT_FROM_CURRENT_MD_SFE,Current-paper 77 K SFE used in model,Table 2 p.11,High,Numerically same as the 77 K MD SFE; do not count twice as independent SFE evidence.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77,Gamma_fcc_hcp_interface,8,mJ/m2,Analytical model input,SECONDARY_REFERENCE_INPUT,Cited Ref.52,Table 2 p.11,High,Reference-derived input; not measured in P015.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Critical-growth model input,77/298,Taylor_factor,3.06,,Analytical model input,MODEL_INPUT,Adopted model factor,Sec.4.3 p.11,High,Do not treat as measured alloy-specific feature.,https://doi.org/10.1016/j.jallcom.2026.188919
P015,10.1016/j.jallcom.2026.188919,Alloy-level,298/77,DeltaG_fcc_hcp,,,Critical-stress equation contains ΔG term but no numeric alloy-specific ΔG is reported,NOT_AVAILABLE,Main paper,Sec.4.3 p.11,High,Do not back-calculate or import ΔG from another study.,https://doi.org/10.1016/j.jallcom.2026.188919
