Feature_Set,Feature_Family,Column_Name,Eligibility_Status,Reason,Coverage_Count_51,Coverage_Percent_51,Method_Constraint,Leakage_Status,Notes
M1_CHEMISTRY,CHEMISTRY,Original_Composition,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",36,70.59,May combine nominal and measured text; retain basis and never silently parse or normalize.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Composition_basis,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",42,82.35,Interpretation control; measured and nominal chemistry must remain distinguishable.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Fe_at%,CANDIDATE_CORE_V1,Central alloy chemistry with broad direct coverage; missing remains NA.,42,82.35,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Mn_at%,CANDIDATE_CORE_V1,Mechanism-relevant matrix chemistry with broad direct coverage; missing remains NA.,42,82.35,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Co_at%,CANDIDATE_CORE_V1,Central multicomponent chemistry with broad direct coverage; missing remains NA.,40,78.43,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Cr_at%,CANDIDATE_CORE_V1,Central multicomponent chemistry with broad direct coverage; missing remains NA.,42,82.35,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Ni_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",18,35.29,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,N_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",1,1.96,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,C_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",9,17.65,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Mo_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",7,13.73,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Si_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
