Source_Workbook,Source_Sheet,Original_Field,Canonical_Field_if_known,Mapping_Status,Number_of_nonmissing_values,Example_values,Scientific_meaning,Recommended_mapping,Risk_of_information_loss,Requires_manual_review
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Data_role,Row_Type,SAFE_ALIAS,20,Experimental + DFT/CALPHAD,See source extraction header,Map exactly to Row_Type,LOW,False
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Composition_basis_original,Composition_basis,SAFE_ALIAS,20,at.%,See source extraction header,Map exactly to Composition_basis,LOW,False
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,ISFE_DFT_0K_mJ_m2,,NEW_SCIENTIFIC_FEATURE,3,-72 | -75 | -87,Intrinsic stacking-fault energy calculated by DFT at 0 K,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,UMFE_mJ_m2,,NEW_SCIENTIFIC_FEATURE,0,,Unstable martensite-fault energy,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,UTFE_mJ_m2,,NEW_SCIENTIFIC_FEATURE,0,,Unstable twin-fault energy,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Image_modalities,Characterization_methods,SAFE_ALIAS,20,SEM/EBSD; XRD,See source extraction header,Map exactly to Characterization_methods,LOW,False
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Precipitate_types,,NEW_SCIENTIFIC_FEATURE,5,"σ phase; Cr-rich MC-type carbides; nanoscale (Ti,V,Mo)C",Reported precipitate identity,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Initial_alpha_martensite_area_fraction,,NEW_SCIENTIFIC_FEATURE,1,0.24,Initial alpha-martensite area fraction,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,HDI_strengthening_MPa,,NEW_SCIENTIFIC_FEATURE,1,750,Hetero-deformation-induced strengthening contribution,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Magnetic_state_descriptor,,NEW_SCIENTIFIC_FEATURE,3,PM/AFM ordering explicitly modeled; Mn stabilizes AFM configurations,Magnetic state description,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Magnetic_critical_temperature_K,,NEW_SCIENTIFIC_FEATURE,0,,Magnetic critical temperature,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
