Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,ML_Condition_ID,Observation_ID,Record_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status,Data_Origin,Source_URL,Predictor_Eligibility,Provenance_Layer
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Paper_ID,P022,as reported,SOURCE_IDENTITY,Verified article identity / whole paper,Verified PDF and bibliographic DOI identity,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,DOI,10.1007/s10853-019-04064-9,as reported,SOURCE_IDENTITY,Verified article identity / whole paper,Verified PDF and bibliographic DOI identity,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Paper_Title,Excellent room temperature ductility of as-cast TRIP high-entropy alloy via Mo and C alloying,as reported,SOURCE_IDENTITY,Verified article identity / whole paper,Verified PDF and bibliographic DOI identity,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Condition_ID,P022_MC_C0_ASCAST_RT,as reported,HIERARCHY_INTEGRATION,"Verified material-parent, condition, and stage sheets",Source-defined hierarchy with correlated stage-child control,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Experiment_Group_ID,P022_SERIES01,as reported,HIERARCHY_INTEGRATION,"Verified material-parent, condition, and stage sheets",Source-defined hierarchy with correlated stage-child control,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Row_Type,Primary as-cast experimental tensile condition,as reported,HIERARCHY_INTEGRATION,"Verified material-parent, condition, and stage sheets",Source-defined hierarchy with correlated stage-child control,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Alloy_ID,C0,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Original_Composition,Fe50Mn30Co10Cr10,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Composition_basis,ATOMIC_RATIO_AS_REPORTED,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Fe_at%,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_ATOMIC_RATIO_FORMULA_NOT_NORMALIZED_TO_ATPCT,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
