Ledger_ID,Ledger_Type,Scope,Legacy_Value,Verified_Value,Action,Scientific_Rationale,Evidence_Location,DOI,Corrigendum_DOI,Status
D001,INTEGRATION_DECISION,P002,,Treat P002 as HIGH_VALUE and recover three exact annealing-defined experimental tensile conditions.,"Create P002_MC_A600_RT, P002_MC_A700_RT, P002_MC_A800_RT under one material parent and one study series.",600/700/800C states have distinct initial microstructures and current-paper tensile characterization.,Secs.2-4,10.1016/j.msea.2020.140441,,READY
D002,INTEGRATION_DECISION,P002,,Do not assign 600C TRIP=0 or TWIP=0.,Effective_TRIP=NA; Effective_TWIP=NA; Slip=1 for A600.,"The paper says pre-existing defects hinder TRIP-TWIP activation and deformation is mainly slip-dominated, but does not provide explicit condition-wide absence evidence.",Sec.4.2 p.8,10.1016/j.msea.2020.140441,,READY
D003,INTEGRATION_DECISION,P002,,Keep 700C as direct TRIP=1/TWIP=1 and 800C as TRIP=1/TWIP=1 with lower TWIP evidence grade.,Record evidence type/confidence separately; do not make evidence strength identical.,"700C has direct TEM/SAED twin+HCP evidence. 800C has direct TRIP evidence and explicit author attribution of nanotwinning for the fully recrystallized #1 condition, but no dedicated post-test twin micrograph.",Secs.3.3-4.2; Figs.7-9,10.1016/j.msea.2020.140441,,READY
D004,INTEGRATION_DECISION,P002,,"Pre-test annealing/processing twins are initial-state descriptors, not tensile TWIP targets.",Preserve twin origin and prevent target leakage.,All three initial states contain twins of annealing or retained processing origin.,Sec.3.1; Figs.1-5,10.1016/j.msea.2020.140441,,READY
D005,INTEGRATION_DECISION,P002,,Use the published corrigendum correction for 800C vs 700C TRIP comparison.,Store corrigendum DOI and corrected interpretation explicitly.,The original Section 3.3 contains a self-comparison typo corrected by the authors.,Corrigendum DOI 10.1016/j.msea.2021.142419,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,READY
D006,INTEGRATION_DECISION,P002,,Keep SFE ~14 mJ/m2 as current-paper thermodynamic estimate and ΔG=-292 J/mol as current-paper CALPHAD result.,Do not merge with experimental/DFT/MD SFE categories.,Neither is an experimental SFE measurement; both are method- and temperature-specific.,Sec.2.1; Sec.4.2,10.1016/j.msea.2020.140441,,READY
D007,INTEGRATION_DECISION,P002,,"Keep as-homogenized and 900C states as Hall-Petch support only, not independent mechanism ML conditions.",Preserve supporting rows without increasing independent mechanism condition count.,Table 1 provides grain size and YS but insufficient condition-level TRIP/TWIP characterization.,Table 1 p.8,10.1016/j.msea.2020.140441,,READY
D008,INTEGRATION_DECISION,P002,,Do not treat EDS uniformity maps as measured quantitative bulk composition.,Measured_Bulk_Composition=NA; composition remains nominal Fe40Mn10Co20Cr20Ni10 at.%.,"EDS is used qualitatively to show spatial homogeneity, not to report quantitative post-melt bulk chemistry.","Secs.3.1,3.3; Figs.4,5,9",10.1016/j.msea.2020.140441,,READY
C001,LEGACY_TARGET_CORRECTION,P002_C03 -> P002_MC_A600_RT / Effective_TRIP,0,UNRESOLVED_NA,Retain legacy 0 unchanged; preserve as Original_TRIP; exact Effective_TRIP remains NA,Hindered/suppressed plus missing direct post-test characterization is insufficient for a verified zero.,Sec.4.2 p.8; verified source review,10.1016/j.msea.2020.140441,,APPLIED_NON_DESTRUCTIVELY
C002,LEGACY_TARGET_CORRECTION,P002_C03 -> P002_MC_A600_RT / Effective_TWIP,0,UNRESOLVED_NA,Retain legacy 0 unchanged; preserve as Original_TWIP; exact Effective_TWIP remains NA,Pre-test twins and hindered activation do not establish condition-wide post-test TWIP absence.,Sec.3.1; Sec.4.2 p.8; verified source review,10.1016/j.msea.2020.140441,,APPLIED_NON_DESTRUCTIVELY
C003,LEGACY_NUMERIC_SCOPE_CORRECTION,P002_C01/P002_C02/P002_C03 -> exact replacement Test_T_K,298 K,Test_T_Raw=room temperature; Test_T_K=NA,Retain legacy values unchanged; do not propagate inferred 298 K to exact rows,The source text reports room temperature without an exact numeric Kelvin value.,Sec.2.3,10.1016/j.msea.2020.140441,,APPLIED_NON_DESTRUCTIVELY
C004,LEGACY_NUMERIC_SCOPE_CORRECTION,P002_C01/P002_C02/P002_C03 -> exact replacement Initial_FCC_fraction,1,NA with qualitative Single FCC,Retain legacy values unchanged; exact numeric FCC fraction is not propagated,"Single-FCC EBSD establishes phase identity and HCP absence, but not an exact numeric FCC fraction.",Sec.3.1; Figs.1-5,10.1016/j.msea.2020.140441,,APPLIED_NON_DESTRUCTIVELY
C005,OFFICIAL_CORRIGENDUM,Section 3.3 / interpretation of Fig.7,800C condition stated as having more pronounced TRIP than 800C condition (self-comparison typo),800C condition has more pronounced TRIP than 700C condition,Use corrected 800C > 700C TRIP interpretation throughout recovery,Important for processing-condition comparison; does not change the numerical HCP fractions in Fig.7.,Corrigendum page included after original article; Materials Science & Engineering A 832 (2022) 142419,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,APPLIED
