Paper_ID,ML_Condition_ID,TRIP_Current,TWIP_Current,TRIP_Evidence,TWIP_Evidence,Evidence_Type,Evidence_Location,Page,Figure_Table,Verification_Status,Notes
P001,P001_MC01,0.0 | 1.0,0.0,EBSD/HRTEM/neutron evidence for limited HCP at high deformation | HCP/twins almost absent at early local strain | Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant | No strong deformation twin contribution reported,,Abstract; Methods; Table 1; Figs. 4-13 | Figs. 6-12,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P001,P001_MC02,1.0,0.0,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,,Abstract; Methods; Table 1; Figs. 4-13,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P001,P001_MC03,1.0,0.0,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,,Abstract; Methods; Table 1; Figs. 4-13,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P002,P002_MC01,1.0,1.0,EBSD/TEM evidence for FCC→HCP where activated,TEM/EBSD evidence for nano-twinning where activated,,Abstract; Methods; Fig. 1-6; mechanical-property discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P002,P002_MC02,1.0,1.0,EBSD/TEM evidence for FCC→HCP where activated,TEM/EBSD evidence for nano-twinning where activated,,Abstract; Methods; Fig. 1-6; mechanical-property discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P002,P002_MC03,0.0,0.0,EBSD/TEM evidence for FCC→HCP where activated,TEM/EBSD evidence for nano-twinning where activated,,Abstract; Methods; Fig. 1-6; mechanical-property discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P002,P002_MC04,,,Reference comparator only,reported in abstract comparison,,Medium,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P002,P002_MC05,,,Keep this row for descriptor provenance; exclude from ML training labels.,,,,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P003,P003_MC01,1.0,1.0,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,,Abstract; Methods; Figs. 1-7; Table 1; discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P003,P003_MC02,,,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,,Abstract; Methods; Figs. 1-7; Table 1; discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P003,P003_MC03,,,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,,Abstract; Methods; Figs. 1-7; Table 1; discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P003,P003_MC04,1.0,1.0,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,,Abstract; Methods; Figs. 1-7; Table 1; discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P003,P003_MC05,,,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,,Abstract; Methods; Figs. 1-7; Table 1; discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P003,P003_MC06,,,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,,Abstract; Methods; Figs. 1-7; Table 1; discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P003,P003_MC07,1.0,1.0,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,,Abstract; Methods; Figs. 1-7; Table 1; discussion,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P004,P004_MC01,1.0,0.0 | 1.0,,XRD phase fraction + EBSD phase maps track FCC/HCP evolution,,Yes,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P005,P005_MC01,0.0 | 1.0,0.0 | 1.0,,Atomic-resolution HAADF-STEM identifies HCP lamellae from ε≈0.1,,Yes,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P006,P006_MC01,,,XRD/EBSD; TRIP explicitly identified for Ni15Fe10,EBSD; TWIP explicitly identified for Ni15Fe15,,Figs. 1-3; abstract/conclusions,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P006,P006_MC02,0.0,1.0,XRD/EBSD; TRIP explicitly identified for Ni15Fe10,EBSD; TWIP explicitly identified for Ni15Fe15,,Figs. 1-3; abstract/conclusions,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P006,P006_MC03,1.0,0.0,XRD/EBSD; TRIP explicitly identified for Ni15Fe10,EBSD; TWIP explicitly identified for Ni15Fe15,,Figs. 1-3; abstract/conclusions,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P007,P007_MC01,1.0,1.0,TEM/XRD evidence for deformation-induced ε and reverse transformation,TEM deformation twins for short annealing times,,"Table 3; Figs. 3,5-10; conclusions",,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P007,P007_MC02,1.0,1.0,TEM/XRD evidence for deformation-induced ε and reverse transformation,TEM deformation twins for short annealing times,,"Table 3; Figs. 3,5-10; conclusions",,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P007,P007_MC03,,,TEM/XRD evidence for deformation-induced ε and reverse transformation,TEM deformation twins for short annealing times,,"Table 3; Figs. 3,5-10; conclusions",,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P007,P007_MC04,1.0,,TEM/XRD evidence for deformation-induced ε and reverse transformation,TEM deformation twins for short annealing times,,"Table 3; Figs. 3,5-10; conclusions",,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
