Priority,Paper_ID,DOI,Condition_ID,Field_or_Issue,Current_Value,What_needs_verification,Where_to_check,Expected_benefit
P1,P001,10.1016/j.actamat.2023.119389,P001_C01,TRIP/TWIP target or row independence,TRIP=1; TWIP=0; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Table 1; Figs. 4-13,Defensible target and leakage-safe grouping
P1,P001,10.1016/j.actamat.2023.119389,P001_C02,TRIP/TWIP target or row independence,TRIP=1; TWIP=0; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Table 1; Figs. 4-13,Defensible target and leakage-safe grouping
P1,P001,10.1016/j.actamat.2023.119389,P001_C03,TRIP/TWIP target or row independence,TRIP=1; TWIP=0; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Table 1; Figs. 4-13,Defensible target and leakage-safe grouping
P1,P002,10.1016/j.msea.2020.140441,P002_C03,TRIP/TWIP target or row independence,TRIP=0; TWIP=0; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Fig. 1-6; mechanical-property discussion,Defensible target and leakage-safe grouping
P1,P002,10.1016/j.msea.2020.140441,P002_C04,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_SUMMARY,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Medium,Defensible target and leakage-safe grouping
P1,P002,10.1016/j.msea.2020.140441,P002_C05,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_SUMMARY,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Methods/results and cited figure/table,Defensible target and leakage-safe grouping
P1,P003,10.1016/j.msea.2020.138982,P003_C01,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Figs. 1-7; Table 1; discussion,Defensible target and leakage-safe grouping
P1,P003,10.1016/j.msea.2020.138982,P003_C02,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Figs. 1-7; Table 1; discussion,Defensible target and leakage-safe grouping
P1,P003,10.1016/j.msea.2020.138982,P003_C03,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Figs. 1-7; Table 1; discussion,Defensible target and leakage-safe grouping
P1,P003,10.1016/j.msea.2020.138982,P003_C04,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Figs. 1-7; Table 1; discussion,Defensible target and leakage-safe grouping
