Paper_ID,Condition_ID,Experiment_Group_ID,Original_Row_Type,Assigned_Row_Role,Reason,Confidence,Requires_manual_review
P001,P001_C01,P001_G01,Tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P001,P001_C02,P001_G01,Tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P001,P001_C03,P001_G01,Tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P001,P001_C04,P001_G01,Local-strain microstructure,EXPERIMENTAL_REPEATED_STAGE,Explicit local/interrupted/in-situ deformation-stage observation,HIGH,False
P001,P001_C05,P001_G01,Local-strain microstructure,EXPERIMENTAL_REPEATED_STAGE,Explicit local/interrupted/in-situ deformation-stage observation,HIGH,False
P001,P001_C06,P001_G01,Local-strain microstructure,EXPERIMENTAL_REPEATED_STAGE,Explicit local/interrupted/in-situ deformation-stage observation,HIGH,False
P001,P001_C07,P001_G01,Local-strain microstructure,EXPERIMENTAL_REPEATED_STAGE,Explicit local/interrupted/in-situ deformation-stage observation,HIGH,False
P001,P001_C08,P001_G01,Local-strain microstructure,EXPERIMENTAL_REPEATED_STAGE,Explicit local/interrupted/in-situ deformation-stage observation,HIGH,False
P002,P002_C01,P002_G01,Processing/tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P002,P002_C02,P002_G01,Processing/tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P002,P002_C03,P002_G01,Processing/tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P002,P002_C04,P002_G_REF,Reference comparator,EXPERIMENTAL_SUMMARY,Reference/design descriptor is not an independent tested condition,MEDIUM,False
P002,P002_C05,P002_G_DESIGN,Alloy-design descriptor,EXPERIMENTAL_SUMMARY,Reference/design descriptor is not an independent tested condition,MEDIUM,False
P003,P003_C01,P003_G01,Strain-rate tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P003,P003_C02,P003_G01,Strain-rate tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P003,P003_C03,P003_G01,Strain-rate tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P003,P003_C04,P003_G01,Strain-rate tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P003,P003_C05,P003_G01,Strain-rate tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P003,P003_C06,P003_G01,Strain-rate tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P003,P003_C07,P003_G01,Strain-rate tensile condition,EXPERIMENTAL_INDEPENDENT,Row type explicitly identifies an experimental tensile condition,HIGH,False
P004,P004_C01,P004_G01,Interrupted strain stage,EXPERIMENTAL_REPEATED_STAGE,Explicit local/interrupted/in-situ deformation-stage observation,HIGH,False
P004,P004_C02,P004_G01,Interrupted strain stage,EXPERIMENTAL_REPEATED_STAGE,Explicit local/interrupted/in-situ deformation-stage observation,HIGH,False
