Paper_ID,ML_Condition_ID,Material_Parent_ID,Test_T,Strain_Rate,TRIP_Label,TWIP_Label,Negative_Target,Negative_Evidence_Type,Negative_Evidence_Strength,Condition_Level_Negative,Initial_to_Final_Evidence,Paper_Group,Material_Group,Evidence_Text,Evidence_Location,Negative_Origin_Check,Notes
P001,P001_MC01,,298.0,0.001,1.0,0.0,TWIP,DIRECT_OR_COMPARATIVE_MECHANISM_SUPPRESSION,MODERATE,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P001,PAPER_FALLBACK::P001,Mechanical twinning largely suppressed/not dominant,Abstract; Methods; Table 1; Figs. 4-13,PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P001,P001_MC02,,298.0,0.001,1.0,0.0,TWIP,DIRECT_OR_COMPARATIVE_MECHANISM_SUPPRESSION,MODERATE,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P001,PAPER_FALLBACK::P001,Mechanical twinning largely suppressed/not dominant,Abstract; Methods; Table 1; Figs. 4-13,PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P001,P001_MC03,,298.0,0.001,1.0,0.0,TWIP,DIRECT_OR_COMPARATIVE_MECHANISM_SUPPRESSION,MODERATE,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P001,PAPER_FALLBACK::P001,Mechanical twinning largely suppressed/not dominant,Abstract; Methods; Table 1; Figs. 4-13,PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P002,P002_MC03,,298.0,0.001,0.0,0.0,TRIP,REVIEWED_CONDITION_LABEL_WITH_COMPARATIVE_OR_NONSPECIFIC_SUMMARY,LIMITED,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P002,PAPER_FALLBACK::P002,EBSD/TEM evidence for FCC→HCP where activated,Abstract; Methods; Fig. 1-6; mechanical-property discussion,PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P002,P002_MC03,,298.0,0.001,0.0,0.0,TWIP,REVIEWED_CONDITION_LABEL_WITH_COMPARATIVE_OR_NONSPECIFIC_SUMMARY,LIMITED,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P002,PAPER_FALLBACK::P002,TEM/EBSD evidence for nano-twinning where activated,Abstract; Methods; Fig. 1-6; mechanical-property discussion,PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P007,P007_MC_A600_10h,P007_MAT01,298.0,0.001,1.0,0.0,TWIP,REVIEWED_CONDITION_LABEL_WITH_COMPARATIVE_OR_NONSPECIFIC_SUMMARY,LIMITED,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P007,P007_MAT01,TEM deformation twins for short annealing times,"Table 3; Figs. 3,5-10; conclusions",PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P008,P008_MC_N2p6_PC,P008_MAT_N2p6,298.0,0.001,0.0,1.0,TRIP,DIRECT_OR_COMPARATIVE_MECHANISM_SUPPRESSION,MODERATE,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P008,P008_MAT_N2p6,Paper explicitly states dominant mechanism changes away from martensitic transformation,Abstract; methods; deformation microstructure section,PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P008,P008_MC_N2p6_FC,P008_MAT_N2p6,,0.001,0.0,1.0,TRIP,REVIEWED_EFFECTIVE_TARGET; EVIDENCE_TEXT_NOT_CARRIED_IN_CONSOLIDATED_FIELD,LIMITED,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P008,P008_MAT_N2p6,NOT_CARRIED_IN_CONSOLIDATED_FIELD,,PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; CONSOLIDATED_EVIDENCE_TEXT_GAP_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P010,P010_MC_AlloyII,P010_MAT_AlloyII,,0.001,0.0,1.0,TRIP,DIRECT_INITIAL_TO_FINAL_PHASE_ABSENCE,STRONG,True,YES_EXPLICIT_INITIAL_TO_FINAL_PHASE_EVIDENCE,P010,P010_MAT_AlloyII,Initial single FCC; at ~70% local strain deformed structure remains single FCC and no HCP is observed.,Table I; Methods pp.2-4; Figs.5-6; Results pp.7-9; Discussion p.10,PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P011,P011_MC_A10_77K,P011_MAT_FE50MN30CO10CR10,77.0,0.001,1.0,0.0,TWIP,EXPLICIT_NEGATIVE_DIRECT_TEM,STRONG,True,NOT_RECORDED_AS_INITIAL_TO_FINAL_IN_CONSOLIDATED_MASTER,P011,P011_MAT_FE50MN30CO10CR10,Paper explicitly states only deformation-induced phase transformation occurred at 77 K without activation of DTs/nanotwins.,"pp.6-7,10-11; Figs.6-10",PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
P015,P015_MC_298K,P015_MAT_FE50MN20CR20NI10,298.0,0.001,0.0,1.0,TRIP,EXPLICIT_INITIAL_TO_FINAL_PHASE_NEGATIVE,STRONG,True,YES_EXPLICIT_INITIAL_TO_FINAL_PHASE_EVIDENCE,P015,P015_MAT_FE50MN20CR20NI10,Single FCC after tensile fracture; no secondary phase detected,"Sec.3.2-4.1 pp.3-7; Figs.4,6,7; Table 1",PASS_NO_LABEL_GENERATION_BY_SPLIT_TASK; INDEPENDENT_EXPERIMENTAL_CONDITION; NOT_STAGE; NOT_LEGACY; NOT_COMPUTATIONAL; NOT_INITIAL_PHASE_ABSENCE_ALONE; SOURCE_EVIDENCE_TEXT_RETAINED,Target is copied unchanged from Effective_TRIP/Effective_TWIP. Strength audits the evidence text available in the consolidated master and does not relabel the condition.
