Paper_ID,ML_Condition_ID,Effective_TRIP,Effective_TWIP,TRIP_Evidence_Status,TWIP_Evidence_Status,Negative_Evidence_Status,Target_Integrity_Status,Issue,Severity,Recommended_Action
P001,P001_MC01,1.0,0.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P001,P001_MC02,1.0,0.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P001,P001_MC03,1.0,0.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P002,P002_MC01,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P002,P002_MC02,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P002,P002_MC03,0.0,0.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P003,P003_MC01,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P003,P003_MC02,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P003,P003_MC03,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P003,P003_MC04,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P003,P003_MC05,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P003,P003_MC06,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P003,P003_MC07,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P007,P007_MC_A600_1h,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P007,P007_MC_A600_2h,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
