Column_Name,Data_Type,Scientific_Family,Schema_Role,V1_Prediction_Time_Class,Experimental_Coverage_n,Experimental_Coverage_pct,CORE_M2,Pilot_M2_Action,Source_Type,Preprocessing,Potential_Leakage,Scientific_Justification,V2_Review_Status
Paper_ID,object,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"The identifier can memorize paper, material, condition, or observation identity.",V1_PRECEDENT_RECONFIRMED
DOI,object,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"The identifier can memorize paper, material, condition, or observation identity.",V1_PRECEDENT_RECONFIRMED
Paper_Title,object,PROVENANCE_QC,METADATA_ONLY,METADATA_ONLY,59,85.507,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",V1_PRECEDENT_RECONFIRMED
Condition_ID,object,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"The identifier can memorize paper, material, condition, or observation identity.",V1_PRECEDENT_RECONFIRMED
Experiment_Group_ID,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,39,56.522,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Original_Experiment_Group_ID,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,21,30.435,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Row_Type,object,PROVENANCE_QC,METADATA_ONLY,METADATA_ONLY,44,63.768,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",V1_PRECEDENT_RECONFIRMED
Alloy_ID,object,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTIFIER_ONLY,60,86.957,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"The identifier can memorize paper, material, condition, or observation identity.",V1_PRECEDENT_RECONFIRMED
Original_Composition,object,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,54,78.261,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Composition_basis,object,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,60,86.957,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
