Paper_ID,DOI,Corrigendum_DOI,Material_Parent_ID,ML_Condition_ID,Record_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status,Source_URL
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,,P002_MAT_FE40MN10CO20CR20NI10,Nominal_Composition,Fe40Mn10Co20Cr20Ni10,at.%,DIRECT_TEXT,Abstract/Sec.2.1,Nominal alloy design,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,,P002_MAT_FE40MN10CO20CR20NI10,DeltaG_FCC_to_HCP,-292,J/mol,DIRECT_TEXT,Sec.2.1; Sec.4.2,Thermo-Calc TCFE7,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,,P002_MAT_FE40MN10CO20CR20NI10,SFE_gamma_SF_estimated,14,mJ/m2,DIRECT_TEXT,Sec.4.2 Eq.2,Thermodynamic estimate,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,P002_MC_A600_RT,Anneal_T_C,600,C,DIRECT_METHOD,Sec.2.1,Processing,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,P002_MC_A600_RT,Engineering_Strain_Rate,0.001,s^-1,DIRECT_METHOD,Sec.2.3,Tensile testing,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,P002_MC_A600_RT,Initial_HCP_fraction,0,fraction,DIRECT_EBSD_PHASE_ABSENCE,Sec.3.1,EBSD,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,P002_MC_A600_RT,RZ_Grain_Size,1.8,um,DIRECT_TEXT,Sec.3.1/Table 1 where applicable,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,P002_MC_A600_RT,Recrystallized_Fraction,0.13,fraction,DIRECT_TEXT,Sec.3.1,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,P002_MC_A600_RT,NonRecrystallized_Fraction,0.87,fraction,DIRECT_TEXT,Sec.3.1,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,P002_MC_A700_RT,Anneal_T_C,700,C,DIRECT_METHOD,Sec.2.1,Processing,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,P002_MC_A700_RT,Engineering_Strain_Rate,0.001,s^-1,DIRECT_METHOD,Sec.2.3,Tensile testing,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,P002_MC_A700_RT,Initial_HCP_fraction,0,fraction,DIRECT_EBSD_PHASE_ABSENCE,Sec.3.1,EBSD,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,P002_MC_A700_RT,RZ_Grain_Size,3.6,um,DIRECT_TEXT,Sec.3.1/Table 1 where applicable,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,P002_MC_A700_RT,Recrystallized_Fraction,0.92,fraction,DIRECT_TEXT,Sec.3.1,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,P002_MC_A700_RT,NonRecrystallized_Fraction,0.08,fraction,DIRECT_TEXT,Sec.3.1,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,P002_MC_A800_RT,Anneal_T_C,800,C,DIRECT_METHOD,Sec.2.1,Processing,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,P002_MC_A800_RT,Engineering_Strain_Rate,0.001,s^-1,DIRECT_METHOD,Sec.2.3,Tensile testing,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,P002_MC_A800_RT,Initial_HCP_fraction,0,fraction,DIRECT_EBSD_PHASE_ABSENCE,Sec.3.1,EBSD,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,P002_MC_A800_RT,RZ_Grain_Size,4.7,um,DIRECT_TEXT,Sec.3.1/Table 1 where applicable,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,P002_MC_A800_RT,Recrystallized_Fraction,1,fraction,DIRECT_TEXT,Sec.3.1,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,P002_MC_A800_RT,NonRecrystallized_Fraction,0,fraction,DIRECT_TEXT,Sec.3.1,EBSD/BSE,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,P002_MC_A700_RT,Effective_TRIP,1,binary,DIRECT_EBSD_TEM,"Sec.3.3; Figs.7,9",EBSD/TEM/SAED,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,P002_MC_A700_RT,Effective_TWIP,1,binary,DIRECT_TEM,Sec.3.3 Fig.9,TEM,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,P002_MC_A800_RT,Effective_TRIP,1,binary,DIRECT_EBSD_XRD,"Sec.3.3; Figs.7,8",EBSD/XRD,High,VERIFIED,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,P002_MC_A800_RT,Effective_TWIP,1,binary,AUTHOR_CONDITION_ATTRIBUTION,Sec.4.2,Mechanistic attribution,Medium,VERIFIED_WITH_EVIDENCE_GRADE,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,P002_MC_A600_RT,Effective_TRIP,UNRESOLVED_NA,binary,INSUFFICIENT_NEGATIVE_EVIDENCE,Sec.4.2,Source review,High,VERIFIED_NA,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,10.1016/j.msea.2021.142419,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,P002_MC_A600_RT,Effective_TWIP,UNRESOLVED_NA,binary,INSUFFICIENT_NEGATIVE_EVIDENCE,Sec.4.2,Source review,High,VERIFIED_NA,https://doi.org/10.1016/j.msea.2020.140441
