Priority,Decision_ID,Decision,Status,Scientific_Rationale,Implementation_Rule,Evidence_Location,Source_URL
P0,D001,"Create five independent tensile conditions: as-cast, CR, A600, A650, A700.",READY,All five source states have distinct reported tensile properties under the same reported strain rate.,Each state gets one ML_Condition_ID; replicate_n=3 remains metadata only.,Methods + Table 1,https://doi.org/10.3390/ma17235893
P0,D002,Only A600 receives verified condition-level TRIP=1/TWIP=1.,READY,Only A600 has direct post-tensile EBSD/TEM evolution showing FCC→HCP and deformation twins.,As-cast/CR/A650/A700 targets remain NA unless condition-specific post-tensile evidence is later recovered.,Figs.7-10,https://doi.org/10.3390/ma17235893
P0,D003,CR processing-induced TRIP/TWIP must not become tensile targets.,READY,CR already contains deformation twins and 26.1% HCP before its tensile test.,Store Processing_TRIP=1 and Processing_TWIP=1 separately; Effective tensile targets remain NA.,Figs.2-3,https://doi.org/10.3390/ma17235893
P0,D004,"A600 stage hierarchy uses 0%, 15%, 30%, and fracture as correlated children.",READY,These are sequential observations of one A600 tensile condition.,All stage rows Independent_ML_sample=False.,Figs.7-10,https://doi.org/10.3390/ma17235893
P1,D005,"At A600 15%, TWIP remains NA.",READY,Observed twins are explicitly described as annealing twins; deformation-twin activation is directly confirmed only at higher strain.,TRIP=1/TWIP=NA at 15%; 30% and fracture are TRIP=1/TWIP=1.,Figs.8-10,https://doi.org/10.3390/ma17235893
P1,D006,Preserve A650 trace HCP 0.1% and single-FCC text/XRD inconsistency.,READY,EBSD and XRD/text do not report exactly the same phase description.,Use provenance/status rather than silently forcing a consensus.,Figs.1-2,https://doi.org/10.3390/ma17235893
P1,D007,Do not assume tensile test temperature.,READY,No explicit tensile temperature is stated in Methods.,Test_T_K remains NA for all P014 tensile conditions.,Methods p.3,https://doi.org/10.3390/ma17235893
P1,D008,Use replicate_n=3 without pseudo-replicates; ± statistic type remains unknown.,READY,Three tensile specimens are reported but individual values/statistic definition are not.,"Keep condition-level mean ± values, n=3, Replicate_ID=NA.",Methods + Table 1,https://doi.org/10.3390/ma17235893
P1,D009,Preserve HDI=631.2 MPa as post-loading/model-derived evidence with leakage flag.,READY,It is obtained from A600 load-unload response and therefore is not a pre-test intrinsic descriptor.,Store in HDI/strengthening table; do not automatically expose it to later predictors.,Fig.11; p.12,https://doi.org/10.3390/ma17235893
P1,D010,SFE and DeltaG remain NA.,READY,No numeric source-specific SFE/DeltaG is reported in P014.,Never import values from another Fe50Mn30Co10Cr10 publication.,Main paper,https://doi.org/10.3390/ma17235893
