Paper_ID,Original_Experiment_Group_ID,New_Parent_Experiment_ID,ML_Condition_ID,Original_Conflict,Conflict_After_Regrouping,Conflict_Type,Explanation,Paper_Review_Required
P001,P001_G01,P001_PE01|P001_PE02|P001_PE03,P001_MC01|P001_MC02|P001_MC03,TRIP,NO,SEQUENTIAL_MECHANISM_EVOLUTION,The old group pooled deformation stages; changing stage-specific labels are retained as sequential activation.,0
P002,P002_G01,P002_PE01|P002_PE02|P002_PE03,P002_MC01|P002_MC02|P002_MC03,TRIP+TWIP,NO,ARTIFICIAL_GROUPING_CONFLICT,"The old group pooled distinct compositions, processing states, temperatures, rates, or computational conditions; the new ML conditions do not conflict.",0
P004,P004_G01,P004_PE01,P004_MC01,TWIP,NO,SEQUENTIAL_MECHANISM_EVOLUTION,The old group pooled deformation stages; changing stage-specific labels are retained as sequential activation.,0
P005,P005_G01,P005_PE01,P005_MC01,TRIP+TWIP,NO,SEQUENTIAL_MECHANISM_EVOLUTION,The old group pooled deformation stages; changing stage-specific labels are retained as sequential activation.,0
P006,P006_G01,P006_PE01|P006_PE02|P006_PE03,P006_MC01|P006_MC02|P006_MC03,TRIP+TWIP,NO,ARTIFICIAL_GROUPING_CONFLICT,"The old group pooled distinct compositions, processing states, temperatures, rates, or computational conditions; the new ML conditions do not conflict.",1
P011,P011_A10,P011_PE03|P011_PE05,P011_MC03|P011_MC05,TWIP,NO,ARTIFICIAL_GROUPING_CONFLICT,"The old group pooled distinct compositions, processing states, temperatures, rates, or computational conditions; the new ML conditions do not conflict.",0
P012,P012_Fe38.3Mn40Co10Cr10Mo1.7,P012_PE05|P012_PE06,P012_MC05|P012_MC06,TRIP,NO,ARTIFICIAL_GROUPING_CONFLICT,"The old group pooled distinct compositions, processing states, temperatures, rates, or computational conditions; the new ML conditions do not conflict.",0
P012,P012_Fe39.5Mn40Co10Cr10C0.5,P012_PE03|P012_PE04,P012_MC03|P012_MC04,TRIP,NO,ARTIFICIAL_GROUPING_CONFLICT,"The old group pooled distinct compositions, processing states, temperatures, rates, or computational conditions; the new ML conditions do not conflict.",0
P012,P012_Fe40Mn40Co10Cr10,P012_PE01|P012_PE02,P012_MC01|P012_MC02,TRIP,NO,ARTIFICIAL_GROUPING_CONFLICT,"The old group pooled distinct compositions, processing states, temperatures, rates, or computational conditions; the new ML conditions do not conflict.",0
P015,P015_G01,P015_PE01|P015_PE02,P015_MC01|P015_MC02,TRIP,NO,ARTIFICIAL_GROUPING_CONFLICT,"The old group pooled distinct compositions, processing states, temperatures, rates, or computational conditions; the new ML conditions do not conflict.",0
