Priority,Decision_ID,Decision,Status,Scientific_Rationale,Implementation_Rule,Evidence_Location,Source_URL
P0,D001,"Create six independent primary conditions = 3 alloys × (RT,77 K).",READY,Same final processing state is tested at two temperatures; composition and temperature jointly define conditions.,No repeated strain-stage row may count independently.,Methods + Fig.4,https://doi.org/10.1016/j.jallcom.2022.165108
P0,D002,RT targets: TWIP=1 for all three; condition-level TRIP=NA. Preserve TRIP=0 only at the directly examined true-strain 0.2 stage.,READY,"All three alloys are single FCC at true strain 0.2 and directly twin at RT, but the paper does not explicitly establish absence of later minor TRIP over the full tensile history.",Condition labels: TRIP=NA/TWIP=1. Stage observations at eps=0.2 retain TRIP_at_stage=0.,Sec.3.4 + Conclusions,https://doi.org/10.1016/j.jallcom.2022.165108
P0,D003,77K Base: TRIP=1/TWIP=NA.,READY,TRIP is direct and dominant. Only microscale-twin absence is explicit at strain 0.2; condition-wide nanoscale absence is not established.,Keep TWIP unresolved rather than overclaiming a negative.,"Sec.3.5; Figs.10,13",https://doi.org/10.1016/j.jallcom.2022.165108
P0,D004,77K Mo: TRIP=1/TWIP=NA at condition level; preserve TWIP=0 only for directly examined stages where no twins were observed.,READY,"SIMT is directly verified. Twin absence is reported for early/examined microstructures, but not explicitly for the entire tensile history.",Condition TWIP=NA; stage-specific TWIP_at_stage=0 remains traceable.,"Sec.3.5; Figs.9,11,14",https://doi.org/10.1016/j.jallcom.2022.165108
P0,D005,77K C: TRIP=1/TWIP=1.,READY,Direct sequential TWIP then simultaneous TWIP/TRIP; HCP ~30% at 50%.,Condition label is joint positive despite delayed TRIP activation.,"Figs.9,12,15",https://doi.org/10.1016/j.jallcom.2022.165108
P1,D006,Keep initial Σ3 boundaries as ANNEALING_TWIN only.,READY,Initial twins arise during annealing and are explicitly distinct from deformation twins.,Never derive TWIP target from initial Σ3 fraction.,Figs.1-2; Sec.3.1,https://doi.org/10.1016/j.jallcom.2022.165108
P1,D007,Keep calculated SFE and DeltaG method-specific and temperature-specific.,READY,Table 2 provides exact thermodynamic calculations for each alloy at 298/77 K.,Do not label as experimental SFE or merge values across methods.,Table 2,https://doi.org/10.1016/j.jallcom.2022.165108
P1,D008,XRD replicate n=5 is not tensile replicate n.,READY,Paper explicitly says five specimens each were used for XRD lattice-constant reliability.,Store XRD_Replicate_n only; leave tensile replicate metadata NA.,Methods p.3,https://doi.org/10.1016/j.jallcom.2022.165108
P1,D009,Preserve measured C=0.6 at.% separately from nominal C0.5.,READY,Leco analysis gives actual C=0.6 at.%.,Use measured composition as primary chemistry while retaining nominal alloy label.,Table 1,https://doi.org/10.1016/j.jallcom.2022.165108
P0,D011,Condition-level 0 labels require condition-wide explicit negative evidence; intermediate-stage absence is not enough.,FINAL_RULE,"This follows the canonical dataset rule 1=observed, 0=explicitly absent/suppressed, NA=not verified.",Keep stage negatives in stage rows; do not promote them to condition-level 0 unless source excludes later occurrence.,Applied to P012 RT TRIP and Mo-77K TWIP,https://doi.org/10.1016/j.jallcom.2022.165108
