Paper_ID,DOI,Parent_ML_Condition_ID,Observation_ID,Local_Strain_pct,Method,HCP_Martensite_Fraction,TRIP_Stage,TWIP_Stage,Slip_Stage,Independent_ML_sample,Observation_Role,Evidence_Location,Confidence,Notes,Source_URL
P002,10.1016/j.msea.2020.140441,P002_MC_A800_RT,P002_A800_EBSD_10,10,EBSD,,1,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 p.5; Fig.7a,High,"Plate-shaped HCP martensite is barely observed. Initial state had no HCP, so this is positive stage TRIP evidence; no exact fraction fabricated.",https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A800_RT,P002_A800_EBSD_45,45,EBSD,0.057,1,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 pp.5-6; Fig.7b,High,Average HCP-martensite fraction ~5.7 vol%.,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A800_RT,P002_A800_EBSD_65,65,EBSD,0.163,1,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 p.6; Fig.7c,High,Average HCP-martensite fraction ~16.3 vol%.,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A800_RT,P002_A800_XRD_0,0,XRD,,0,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 p.6; Fig.8,High,No deformation yet; XRD is consistent with initial FCC state. This zero is stage/pre-test phase evidence only.,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A800_RT,P002_A800_XRD_45,45,XRD,,1,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 p.6; Fig.8,High,HCP peaks appear/increase while FCC peaks decrease; no numerical fraction reported.,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A800_RT,P002_A800_XRD_95,95,XRD,,1,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 p.6; Fig.8,High,Near-fracture region; stronger HCP diffraction relative to lower strain; no numerical fraction reported.,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A700_RT,P002_A700_EBSD_10,10,EBSD,0.007,1,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 p.6; Fig.7d,High,Average HCP-martensite fraction ~0.7 vol%.,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A700_RT,P002_A700_EBSD_45,45,EBSD,0.038,1,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 p.6; Fig.7e,High,Average HCP-martensite fraction ~3.8 vol%.,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A700_RT,P002_A700_EBSD_65,65,EBSD,0.072,1,,,False,CORRELATED_STAGE_CHILD,Sec.3.3 p.6; Fig.7f,High,Average HCP-martensite fraction ~7.2 vol%.,https://doi.org/10.1016/j.msea.2020.140441
P002,10.1016/j.msea.2020.140441,P002_MC_A700_RT,P002_A700_TEM_FRACTURE,,TEM/SAED/HR-STEM,,1,1,1,False,CORRELATED_POST_TEST_EVIDENCE,Sec.3.3 pp.6-7; Fig.9,High,"Direct deformation-twin bundles, HCP martensite, dislocation entanglements/pile-up and stacking faults in near-fracture region.",https://doi.org/10.1016/j.msea.2020.140441
