Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,ML_Condition_ID,Observation_ID,Record_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status,Data_Origin,Source_URL,Provenance_Layer
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Paper_ID,P020,as reported,SOURCE_IDENTITY,"Experimental section and Figs.1-4, pp.621-625",Verified workbook and publisher DOI identity,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,DOI,10.1080/21663831.2018.1523239,as reported,SOURCE_IDENTITY,"Experimental section and Figs.1-4, pp.621-625",Verified workbook and publisher DOI identity,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Paper_Title,Deformation mechanisms and work-hardening behavior of transformation-induced plasticity high entropy alloys by in-situ neutron diffraction,as reported,SOURCE_IDENTITY,"Experimental section and Figs.1-4, pp.621-625",Verified workbook and publisher DOI identity,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Condition_ID,P020_MC_TRIPHEA_INSITU,as reported,HIERARCHY_INTEGRATION,"Experimental section and Figs.1-4, pp.621-625",Source-defined condition hierarchy,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Experiment_Group_ID,P020_SERIES01,as reported,HIERARCHY_INTEGRATION,"Experimental section and Figs.1-4, pp.621-625",Source-defined condition hierarchy,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Row_Type,Primary experimental in-situ tensile condition,as reported,HIERARCHY_INTEGRATION,"Experimental section and Figs.1-4, pp.621-625",Source-defined condition hierarchy,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Alloy_ID,Fe50Mn30Co10Cr10,as reported,DIRECT_TEXT_OR_VERIFIED_NA,"Experimental section and Figs.1-4, pp.621-625",Source text; C-to-K representation only where required by existing field,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Original_Composition,Fe50Mn30Co10Cr10,as reported,DIRECT_TEXT_OR_VERIFIED_NA,"Experimental section and Figs.1-4, pp.621-625",Source text; C-to-K representation only where required by existing field,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Composition_basis,at.% nominal,as reported,DIRECT_TEXT_OR_VERIFIED_NA,"Experimental section and Figs.1-4, pp.621-625",Source text; C-to-K representation only where required by existing field,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
P020,10.1080/21663831.2018.1523239,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_OBS_PRIMARY,Fe_at%,50.0,at.%,DIRECT_TEXT_OR_VERIFIED_NA,"Experimental section and Figs.1-4, pp.621-625",Source text; C-to-K representation only where required by existing field,High,VERIFIED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239,MASTER_FIELD_MAPPING
