Paper_ID,DOI,Original_Experiment_Group_ID,Parent_Experiment_ID,Condition_ID,Observation_ID,Deformation_Stage_ID,Data_Origin,Observation_Role,Grouping_Review_Required,Grouping_Reason,Confidence
P001,10.1016/j.actamat.2023.119389,P001_G01,P001_PE01,P001_C01,OBS001,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P001,10.1016/j.actamat.2023.119389,P001_G01,P001_PE02,P001_C02,OBS002,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P001,10.1016/j.actamat.2023.119389,P001_G01,P001_PE03,P001_C03,OBS003,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P001,10.1016/j.actamat.2023.119389,P001_G01,P001_PE01,P001_C04,OBS004,P001_PE01_DS01,EXPERIMENTAL,REPEATED_STAGE,0,Extracted processing text explicitly links this local-strain stage to P001_C01.,HIGH
P001,10.1016/j.actamat.2023.119389,P001_G01,P001_PE01,P001_C05,OBS005,P001_PE01_DS02,EXPERIMENTAL,REPEATED_STAGE,0,Extracted processing text explicitly links this local-strain stage to P001_C01.,HIGH
P001,10.1016/j.actamat.2023.119389,P001_G01,P001_PE01,P001_C06,OBS006,P001_PE01_DS03,EXPERIMENTAL,REPEATED_STAGE,0,Extracted processing text explicitly links this local-strain stage to P001_C01.,HIGH
P001,10.1016/j.actamat.2023.119389,P001_G01,P001_PE01,P001_C07,OBS007,P001_PE01_DS04,EXPERIMENTAL,REPEATED_STAGE,0,Extracted processing text explicitly links this local-strain stage to P001_C01.,HIGH
P001,10.1016/j.actamat.2023.119389,P001_G01,P001_PE01,P001_C08,OBS008,P001_PE01_DS05,EXPERIMENTAL,REPEATED_STAGE,0,Extracted processing text explicitly links this local-strain stage to P001_C01.,HIGH
P002,10.1016/j.msea.2020.140441,P002_G01,P002_PE01,P002_C01,OBS009,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P002,10.1016/j.msea.2020.140441,P002_G01,P002_PE02,P002_C02,OBS010,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P002,10.1016/j.msea.2020.140441,P002_G01,P002_PE03,P002_C03,OBS011,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P002,10.1016/j.msea.2020.140441,P002_G_REF,P002_PE04,P002_C04,OBS012,,EXPERIMENTAL,SUMMARY,0,Reference summary is retained but excluded from independent-condition counts.,HIGH
P002,10.1016/j.msea.2020.140441,P002_G_DESIGN,P002_PE05,P002_C05,OBS013,,CALPHAD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P003,10.1016/j.msea.2020.138982,P003_G01,P003_PE01,P003_C01,OBS014,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
