Experiment_Group_ID,Paper_ID,number_of_rows,row_roles,test_temperatures,strain_rates,compositions,processing_conditions,TRIP_values,TWIP_values,Deformation_stages,Is_independent_experimental_group,Internal_label_conflict,Potential_data_leakage_risk,Review_note
P001_G01,P001,8,EXPERIMENTAL_INDEPENDENT | EXPERIMENTAL_REPEATED_STAGE,298,0.001,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,Same as P001_C01; local strain regions after tensile testing | Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed,0 | 1,0,final tensile | local strain ~1% | local strain ~3% | local strain ~5% | local strain ~7% | local strain ~80%,False,True,HIGH,labels vary with deformation stage
P002_G01,P002,3,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe40Mn10Co20Cr20Ni10,Vacuum induction cast; hot rolled 900C 50%; homogenized 1200C/2h Ar; water quenched; cold rolled 70%; annealed 30 min,0 | 1,0 | 1,final tensile,False,True,HIGH,group may be too coarse; processing/condition distinction needs paper review
P002_G_REF,P002,1,EXPERIMENTAL_SUMMARY,298,,Reference equiatomic HEA in paper,"Reference comparator, similar grain size",NA,NA,reference tensile,False,False,LOW,No internal conflict
P002_G_DESIGN,P002,1,EXPERIMENTAL_SUMMARY,,,Fe40Mn10Co20Cr20Ni10,CALPHAD design condition,NA,NA,thermodynamic design,False,False,LOW,No internal conflict
P003_G01,P003,7,EXPERIMENTAL_INDEPENDENT,300,0.001 | 0.01 | 0.1 | 1 | 10 | 100 | 1000,Fe50Mn30Co10Cr10,Vacuum cast in Ar; hot-forged 1200C; hot-rolled 900C 50%; solution 1200C/2h; cold-rolled 60%; annealed 900C/3min salt bath; air cooled,1,1,tensile at selected strain rate,False,False,HIGH,Correlated rows must remain grouped
P004_G01,P004,6,EXPERIMENTAL_REPEATED_STAGE,673,0.001,Fe46Mn35.5Co9Cr9N0.5 at.%; Fe45.8Mn35.4Co9.92Cr8.74N0.14 wt.%,Vacuum induction melting from 99.99% feedstock; two VAR cycles; as-cast; preheated 400C/10min before tensile,1,0 | 1,Stage I | Stage II | Stage III | Stage IV | Stage V | fracture/final,False,True,HIGH,labels vary with deformation stage
P005_G01,P005,3,EXPERIMENTAL_REPEATED_STAGE,298,,Measured Cr33.9Co32.0Ni33.7 with trace Fe0.22Mn0.09Si0.06 at.%,Vacuum induction melting; hot rolled 1273K to 5 mm; cold rolled to 1 mm (>80% total deformation); annealed 1073K/1h,0 | 1,0 | 1,interrupted tensile,False,True,HIGH,group may be too coarse; processing/condition distinction needs paper review
P006_G01,P006,3,HYBRID_EXPERIMENTAL_COMPUTATIONAL,298,0.00015,CoCrMnNiFe_series,Arc melt; homogenize 1473K/5h; forge 50%; age 1273K/10min; roll 40%; age 1273K/6min,0 | 1,0 | 1,final tensile,False,True,HIGH,group may be too coarse; processing/condition distinction needs paper review
P007_G01,P007,5,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe49.5Mn30Co10Cr10C0.2Ti0.1V0.1Mo0.1,VIM; homogenize 1200C/2h; hot roll; cold roll 50%; anneal 600C,1,1,final tensile,False,False,HIGH,Correlated rows must remain grouped
P008_G01,P008,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe49.6Mn30.0Co10.0Cr10.4,Base alloy reference; thermomechanically processed,1,NA,final tensile,True,False,LOW,No internal conflict
P008_G02,P008,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe45.9Mn30.4Co10.5Cr10.6N2.6,High-N alloy; thermomechanical processing producing multi-heterostructure,0,1,final tensile,True,False,LOW,No internal conflict
P010_G01,P010,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,298,0.001,Cr20Mn24Fe30Co20Ni6,Synthesized after ab-initio compositional screening; tensile + magnetic/microstructure characterization,1,1,local strain ~20% mechanism characterization,False,False,LOW,No internal conflict
P010_G02,P010,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,298,0.001,Cr20Mn30Fe24Co20Ni6,Synthesized after ab-initio compositional screening; tensile + magnetic/microstructure characterization,0,1,local strain ~20% mechanism characterization,False,False,LOW,No internal conflict
P010_G03,P010,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,298,0.001,Cr20Mn15Fe34Co20Ni11,Synthesized after ab-initio compositional screening; tensile + magnetic/microstructure characterization,0,0,local strain ~20% mechanism characterization,False,False,LOW,No internal conflict
P009_G01,P009,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,293,,Co36Cr20Fe26Mn10Ni8,Cast; homogenized 1200C; ~60% cold rolled,1,0,post-cold-rolling mechanism characterization,False,False,LOW,No internal conflict
P009_G02,P009,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,293,,Co32Cr20Fe26Mn10Ni12,Cast; homogenized 1200C; ~60% cold rolled,0,1,post-cold-rolling mechanism characterization,False,False,LOW,No internal conflict
P009_G03,P009,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,293,,Co28Cr20Fe26Mn10Ni16,Cast; homogenized 1200C; ~60% cold rolled,0,1,post-cold-rolling mechanism characterization,False,False,LOW,No internal conflict
P009_G04,P009,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,293,,Co24Cr20Fe26Mn10Ni20,Cast; homogenized 1200C; ~60% cold rolled,0,1,post-cold-rolling mechanism characterization,False,False,LOW,No internal conflict
P009_G05,P009,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,293,,Co36Cr28Fe18Mn10Ni8,Cast; homogenized 1200C; ~60% cold rolled,1,0,post-cold-rolling mechanism characterization,False,False,LOW,No internal conflict
P009_G06,P009,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,293,,Co36Cr24Fe22Mn10Ni8,Cast; homogenized 1200C; ~60% cold rolled,1,0,post-cold-rolling mechanism characterization,False,False,LOW,No internal conflict
P009_G07,P009,1,HYBRID_EXPERIMENTAL_COMPUTATIONAL,293,,Co36Cr16Fe30Mn10Ni8,Cast; homogenized 1200C; ~60% cold rolled,1,0,post-cold-rolling mechanism characterization,False,False,LOW,No internal conflict
P011_A8,P011,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe50Mn30Co10Cr10,"Gas-atomized pre-alloy powder; SPS 800C/30 min, 45 MPa, vacuum 7e-3 Pa",1,1,,True,False,LOW,No internal conflict
P011_A9,P011,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe50Mn30Co10Cr10,"Gas-atomized pre-alloy powder; SPS 900C/30 min, 45 MPa, vacuum 7e-3 Pa",1,1,,True,False,LOW,No internal conflict
P011_A10,P011,2,EXPERIMENTAL_INDEPENDENT,298 | 77,0.001,Fe50Mn30Co10Cr10,"Gas-atomized pre-alloy powder; SPS 1000C/30 min, 45 MPa, vacuum 7e-3 Pa",1,0 | 1,,False,True,HIGH,labels vary with test temperature
P011_A11,P011,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe50Mn30Co10Cr10,"Gas-atomized pre-alloy powder; SPS 1100C/30 min, 45 MPa, vacuum 7e-3 Pa",1,1,,True,False,LOW,No internal conflict
P012_Fe40Mn40Co10Cr10,P012,2,HYBRID_EXPERIMENTAL_COMPUTATIONAL,298 | 77,0.001,Fe40Mn40Co10Cr10,Thermomechanically processed; interrupted tensile characterization,0 | 1,1,,False,True,HIGH,labels vary with test temperature
P012_Fe39.5Mn40Co10Cr10C0.5,P012,2,HYBRID_EXPERIMENTAL_COMPUTATIONAL,298 | 77,0.001,Fe39.5Mn40Co10Cr10C0.5,Thermomechanically processed; interrupted tensile characterization,0 | 1,1,,False,True,HIGH,labels vary with test temperature
P012_Fe38.3Mn40Co10Cr10Mo1.7,P012,2,HYBRID_EXPERIMENTAL_COMPUTATIONAL,298 | 77,0.001,Fe38.3Mn40Co10Cr10Mo1.7,Thermomechanically processed; interrupted tensile characterization,0 | 1,1,,False,True,HIGH,labels vary with test temperature
P013_G01,P013,5,EXPERIMENTAL_REPEATED_STAGE,298,0.001,Fe50Mn30Co10Cr10,As-cast DP-HEA; in-situ tensile loading under synchrotron X-ray diffraction,1,1,Full tensile test | Stage I | Stage II | Stage III | Stage IV,False,False,HIGH,Correlated rows must remain grouped
P014_As-cast,P014,1,EXPERIMENTAL_INDEPENDENT,298,,Fe50Mn30Co10Cr10,As-cast,1,1,,True,False,LOW,No internal conflict
P014_Cold rolled,P014,1,EXPERIMENTAL_INDEPENDENT,298,,Fe50Mn30Co10Cr10,Cold rolled,1,1,,True,False,LOW,No internal conflict
P014_A600,P014,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe50Mn30Co10Cr10,Cold rolling followed by partial-recrystallization annealing,1,1,,True,False,LOW,No internal conflict
P014_A650,P014,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe50Mn30Co10Cr10,Cold rolling followed by partial-recrystallization annealing,1,1,,True,False,LOW,No internal conflict
P014_A700,P014,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe50Mn30Co10Cr10,Cold rolling followed by partial-recrystallization annealing,1,1,,True,False,LOW,No internal conflict
P015_G01,P015,2,COMPUTATIONAL_MD,298 | 77,0.001,Fe50Mn20Cr20Ni10,VIM under Ar; extra 5 wt% Mn charge; cast in Cu mold; homogenized 1473 K/6 h; water quenched,0 | 1,1,,False,True,HIGH,labels vary with test temperature
P016_G01,P016,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe49.5Mn30Co10Cr10C0.5,Hot roll 50%; homogenize 1200C/2h; cold roll 67%; temper/anneal,NA,NA,Bimodal tempered,True,False,LOW,No internal conflict
