Issue_ID,Priority,Paper_ID,Record_ID,Issue_Category,Scientific_Description,Current_Value,Expected_Semantic_State,Recommended_Action,Requires_Source_PDF,Blocks_Feature_Design,Blocks_ML_Training,Status
V12-0001,P1,P003,P003_MC02,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0002,P1,P003,P003_MC03,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0003,P1,P003,P003_MC05,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0004,P1,P003,P003_MC06,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0005,P1,P007,P007_MC_A600_5h,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0006,P1,P016,P016_MC_400C_3min,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0007,P1,P016,P016_MC_400C_10min,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0008,P1,P016,P016_MC_650C_3min,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=1.0;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0009,P1,P016,P016_MC_650C_10min,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=1.0;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0010,P1,P016,P016_MC_750C_10min,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0011,P1,P008,P008_MC_N0_HOMO,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0012,P1,P008,P008_MC_N0_FC,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=1.0;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0013,P1,P008,P008_MC_N2p6_HOMO,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0014,P1,P011,P011_MC_A9_298K,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0015,P1,P011,P011_MC_A11_298K,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0016,P1,P012,P012_MC_BASE_RT,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=1.0,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0017,P1,P012,P012_MC_MO_RT,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=1.0,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
