Priority,Decision_ID,Decision,Status,Scientific_Rationale,Implementation_Rule,Evidence_Location,Source_URL
P0,D001,"Create four primary ML conditions only: A9-298K, A10-298K, A11-298K, A10-77K.",READY,"Only A9-A11 have room-temperature tensile evidence, and only A10 was tested at 77 K.","A8 remains a source processing state, not an independent target-bearing ML condition.","pp.2,5-6",https://doi.org/10.1016/j.jallcom.2023.170225
P0,D002,A10-298K effective targets TRIP=1/TWIP=1.,READY,HCP rises 4.7→42.1% and deformation twins are directly confirmed by TEM/SAED/HRTEM.,Initial annealing twins must not be used as TWIP evidence.,pp.6-7; Figs.7-9,https://doi.org/10.1016/j.jallcom.2023.170225
P0,D003,A10-77K effective targets TRIP=1/TWIP=0.,READY,HCP rises 4.7→52.6%; paper explicitly reports no activation of deformation twins/nanotwins at 77 K.,This is a high-quality explicit negative TWIP label.,"pp.7,10-11; Fig.10",https://doi.org/10.1016/j.jallcom.2023.170225
P0,D004,A9/A11 298K targets remain NA.,READY,The paper reports their mechanical properties but does not directly characterize their post-deformation mechanisms.,Do not extrapolate mechanism labels from A10 to other sintering temperatures.,Fig.5; mechanism section focuses A10,https://doi.org/10.1016/j.jallcom.2023.170225
P1,D005,"Three tensile samples per alloy are metadata, not three independent rows.",READY,Replicate count n=3 is reported but individual specimen results are not published.,Replicate_n=3; Replicate_ID=NA; do not create pseudo-replicates.,p.2 Experimental,https://doi.org/10.1016/j.jallcom.2023.170225
P1,D006,Use shared feedstock/material parent with distinct processing states and ML conditions.,READY,All states originate from the same commercial gas-atomized Fe50Mn30Co10Cr10 powder and differ by SPS temperature/test temperature.,Keep P011_SERIES01 as strict leakage group and P011_MAT_FE50MN30CO10CR10 as shared material group.,p.2 Experimental,https://doi.org/10.1016/j.jallcom.2023.170225
P1,D007,Keep initial annealing twins separate from deformation TWIP.,READY,Σ3 twins formed during SPS are explicitly identified as annealing twins and later undergo detwinning.,Initial_Sigma3_TB_fraction cannot directly set TWIP=1.,"pp.5,8,10-11",https://doi.org/10.1016/j.jallcom.2023.170225
P1,D008,Keep HCP evolution as repeated-stage evidence.,READY,15% and fracture measurements are correlated observations of A10 conditions.,Stage rows Independent_ML_sample=False.,Figs.7-8,https://doi.org/10.1016/j.jallcom.2023.170225
P1,D009,Store 18.4/-14.4 SFE as model-calculated alloy-level temperature-specific values.,READY,"They are thermodynamic-model calculations, not experimental SFE; ab-initio ranges are secondary literature.",Never merge methods or duplicate one alloy-level value as multiple independent state measurements.,Sec.4.2 p.10,https://doi.org/10.1016/j.jallcom.2023.170225
P2,D010,Do not digitize exact A9 UTS/UE or 15% HCP fractions from plots.,PENDING_ONLY_IF_NEEDED,Exact values are not text-reported and current recovery policy avoids uncontrolled digitization.,Leave NA unless a controlled digitization workflow is explicitly approved later.,"Figs.5,8",https://doi.org/10.1016/j.jallcom.2023.170225
