Scope,Target,Evidence_Pool,Design_ID,Fold,Model_ID,TN,FP,FN,TP
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,1,M0_DUMMY_MOST_FREQUENT,0,1,0,5
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,1,M1_LOGISTIC_BALANCED,1,0,1,4
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,1,M2_RANDOM_FOREST_BALANCED,0,1,0,5
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,1,M3_SVC_RBF_BALANCED,0,1,0,5
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,2,M0_DUMMY_MOST_FREQUENT,0,1,0,5
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,2,M1_LOGISTIC_BALANCED,0,1,0,5
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,2,M2_RANDOM_FOREST_BALANCED,0,1,0,5
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,2,M3_SVC_RBF_BALANCED,0,1,0,5
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,3,M0_DUMMY_MOST_FREQUENT,0,3,0,3
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,3,M1_LOGISTIC_BALANCED,0,3,0,3
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,3,M2_RANDOM_FOREST_BALANCED,0,3,0,3
FOLD,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,3,M3_SVC_RBF_BALANCED,0,3,1,2
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,1,M0_DUMMY_MOST_FREQUENT,0,1,0,5
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,1,M1_LOGISTIC_BALANCED,1,0,1,4
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,1,M2_RANDOM_FOREST_BALANCED,0,1,0,5
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,1,M3_SVC_RBF_BALANCED,0,1,0,5
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,2,M0_DUMMY_MOST_FREQUENT,0,1,0,4
