Paper_ID,DOI,Condition_ID,Experiment_Group_ID,Row_Type,TRIP,TWIP,Slip,Dominant_mechanism,Evidence_TRIP,Evidence_TWIP,Deformation_stage,Source_location,Label_confidence,Problem_Type,Problem_Description,Likely_Root_Cause,Suggested_Action,Can_Auto_Fix,Requires_Paper_Review
P001,10.1016/j.actamat.2023.119389,P001_C01,P001_G01,Tensile condition,1,0,1,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,final tensile,Abstract; Methods; Table 1; Figs. 4-13,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P001,10.1016/j.actamat.2023.119389,P001_C02,P001_G01,Tensile condition,1,0,1,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,final tensile,Abstract; Methods; Table 1; Figs. 4-13,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P001,10.1016/j.actamat.2023.119389,P001_C03,P001_G01,Tensile condition,1,0,1,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,final tensile,Abstract; Methods; Table 1; Figs. 4-13,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P002,10.1016/j.msea.2020.140441,P002_C03,P002_G01,Processing/tensile condition,0,0,1,TRIP/TWIP hindered; limited dislocation slip dominates due to high non-recrystallized zone fraction,EBSD/TEM evidence for FCC→HCP where activated,TEM/EBSD evidence for nano-twinning where activated,final tensile,Abstract; Methods; Fig. 1-6; mechanical-property discussion,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P002,10.1016/j.msea.2020.140441,P002_C04,P002_G_REF,Reference comparator,,,,,Reference comparator only,reported in abstract comparison,reference tensile,Medium,Use only as comparator; not a core TRIP/TWIP condition.,I,Reference/design/summary row is mixed with condition-level mechanism rows,Row granularity does not support a condition-level binary target,Retain as provenance; exclude from condition-level target analysis unless paper verifies it,False,True
P002,10.1016/j.msea.2020.140441,P002_C05,P002_G_DESIGN,Alloy-design descriptor,,,Targeted phase stability for TRIP/TWIP activation,,Keep this row for descriptor provenance; exclude from ML training labels.,,thermodynamic design,,,I,Reference/design/summary row is mixed with condition-level mechanism rows,Row granularity does not support a condition-level binary target,Retain as provenance; exclude from condition-level target analysis unless paper verifies it,False,True
P003,10.1016/j.msea.2020.138982,P003_C01,P003_G01,Strain-rate tensile condition,1,1,1,quasi-static: martensitic transformation dominant; TRIP+TWIP+B-TRIP,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,tensile at selected strain rate,Abstract; Methods; Figs. 1-7; Table 1; discussion,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P003,10.1016/j.msea.2020.138982,P003_C02,P003_G01,Strain-rate tensile condition,,,1,tested strain-rate condition; exact properties require digitization from Fig. 2/Table 1,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,tensile at selected strain rate,Abstract; Methods; Figs. 1-7; Table 1; discussion,Medium,B,Binary label is missing while textual evidence is present,Evidence was extracted without a defensible binary condition-level assignment,Review evidence against target definition; do not infer from suggestive wording,False,True
P003,10.1016/j.msea.2020.138982,P003_C03,P003_G01,Strain-rate tensile condition,,,1,tested strain-rate condition; exact properties require digitization from Fig. 2/Table 1,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,tensile at selected strain rate,Abstract; Methods; Figs. 1-7; Table 1; discussion,Medium,B,Binary label is missing while textual evidence is present,Evidence was extracted without a defensible binary condition-level assignment,Review evidence against target definition; do not infer from suggestive wording,False,True
P003,10.1016/j.msea.2020.138982,P003_C04,P003_G01,Strain-rate tensile condition,1,1,1,transition state; TRIP/TWIP mixed,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,tensile at selected strain rate,Abstract; Methods; Figs. 1-7; Table 1; discussion,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P003,10.1016/j.msea.2020.138982,P003_C05,P003_G01,Strain-rate tensile condition,,,1,tested strain-rate condition; exact properties require digitization from Fig. 2/Table 1,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,tensile at selected strain rate,Abstract; Methods; Figs. 1-7; Table 1; discussion,Medium,B,Binary label is missing while textual evidence is present,Evidence was extracted without a defensible binary condition-level assignment,Review evidence against target definition; do not infer from suggestive wording,False,True
P003,10.1016/j.msea.2020.138982,P003_C06,P003_G01,Strain-rate tensile condition,,,1,tested strain-rate condition; exact properties require digitization from Fig. 2/Table 1,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,tensile at selected strain rate,Abstract; Methods; Figs. 1-7; Table 1; discussion,Medium,B,Binary label is missing while textual evidence is present,Evidence was extracted without a defensible binary condition-level assignment,Review evidence against target definition; do not infer from suggestive wording,False,True
P003,10.1016/j.msea.2020.138982,P003_C07,P003_G01,Strain-rate tensile condition,1,1,1,dynamic: low-strain TRIP then TWIP-dominant; reverse HCP→FCC,EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,tensile at selected strain rate,Abstract; Methods; Figs. 1-7; Table 1; discussion,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P004,10.1016/j.msea.2026.150025,P004_C01,P004_G01,Interrupted strain stage,1,0,1,planar slip + early TRIP; HCP forms,,XRD phase fraction + EBSD phase maps track FCC/HCP evolution,Stage I,Yes,Methods; Fig. 1-2; Results/discussion,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P004,10.1016/j.msea.2026.150025,P004_C02,P004_G01,Interrupted strain stage,1,0,1,TRIP; HCP lath thickening; first WHR peak,,XRD phase fraction + EBSD phase maps track FCC/HCP evolution,Stage II,Yes,Methods; Fig. 1-2; Results/discussion,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P004,10.1016/j.msea.2026.150025,P004_C05,P004_G01,Interrupted strain stage,1,1,1,TRIP + TWIP + reversion; HCP laths partially thicken but overall fraction decreases,,XRD phase fraction + EBSD phase maps track FCC/HCP evolution,Stage V,Yes,Methods; Fig. 1-2; Results/discussion,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P004,10.1016/j.msea.2026.150025,P004_C06,P004_G01,Interrupted strain stage,1,1,1,HCP fraction rises again at final strain; new martensite variants mostly from grain boundaries,,XRD phase fraction + EBSD phase maps track FCC/HCP evolution,fracture/final,Yes,Methods; Fig. 1-2; Results/discussion,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P005,10.1016/j.actamat.2022.118049,P005_C01,P005_G01,Interrupted strain microstructure,0,0,1,Planar dislocation slip; increased dislocation density; pile-ups at grain boundaries,,Atomic-resolution HAADF-STEM identifies HCP lamellae from ε≈0.1,interrupted tensile,Yes,Figs. 1-10; SFE section; Experimental procedure,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P005,10.1016/j.actamat.2022.118049,P005_C02,P005_G01,Interrupted strain microstructure,1,1,1,High density stacking faults; extrinsic/intrinsic fault pairs; 3-layer twin embryos; 4/6/8-layer HCP lamellae,,Atomic-resolution HAADF-STEM identifies HCP lamellae from ε≈0.1,interrupted tensile,Yes,Figs. 1-10; SFE section; Experimental procedure,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
