Paper_ID,Record_ID,Paper_ID_Present,DOI_Present,Condition_ID_Present,Evidence_Location_Present,Method_Present,Confidence_Present,Provenance_Status,Missing_Elements
P001,P001_MC01,True,True,True,True,True,True,COMPLETE,
P001,P001_MC02,True,True,True,True,True,True,COMPLETE,
P001,P001_MC03,True,True,True,True,True,True,COMPLETE,
P002,P002_MC01,True,True,True,True,True,True,COMPLETE,
P002,P002_MC02,True,True,True,True,True,True,COMPLETE,
P002,P002_MC03,True,True,True,True,True,True,COMPLETE,
P003,P003_MC01,True,True,True,True,True,True,COMPLETE,
P003,P003_MC02,True,True,True,True,True,True,COMPLETE,
P003,P003_MC03,True,True,True,True,True,True,COMPLETE,
P003,P003_MC04,True,True,True,True,True,True,COMPLETE,
P003,P003_MC05,True,True,True,True,True,True,COMPLETE,
P003,P003_MC06,True,True,True,True,True,True,COMPLETE,
P003,P003_MC07,True,True,True,True,True,True,COMPLETE,
P007,P007_MC_A600_1h,True,True,True,True,True,True,COMPLETE,
P007,P007_MC_A600_2h,True,True,True,True,True,True,COMPLETE,
P007,P007_MC_A600_5h,True,True,True,True,True,True,COMPLETE,
P007,P007_MC_A600_10h,True,True,True,True,True,True,COMPLETE,
P007,P007_MC_A600_72h,True,True,True,True,True,True,COMPLETE,
P008,P008_MC_N2p6_PC,True,True,True,True,True,True,COMPLETE,
P016,P016_MC_400C_3min,True,True,True,True,True,True,COMPLETE,
P016,P016_MC_400C_10min,True,True,True,True,True,True,COMPLETE,
P016,P016_MC_650C_3min,True,True,True,True,True,True,COMPLETE,
P016,P016_MC_650C_10min,True,True,True,True,True,True,COMPLETE,
P016,P016_MC_750C_3min,True,True,True,True,True,True,COMPLETE,
P016,P016_MC_750C_10min,True,True,True,True,True,True,COMPLETE,
P008,P008_MC_N0_HOMO,True,True,True,False,True,True,PARTIAL,Evidence_Location_Present
P008,P008_MC_N0_PC,True,True,True,False,True,True,PARTIAL,Evidence_Location_Present
P008,P008_MC_N0_FC,True,True,True,False,True,True,PARTIAL,Evidence_Location_Present
P008,P008_MC_N2p6_HOMO,True,True,True,False,True,True,PARTIAL,Evidence_Location_Present
P008,P008_MC_N2p6_FC,True,True,True,False,True,True,PARTIAL,Evidence_Location_Present
P010,P010_MC_AlloyI,True,True,True,True,True,True,COMPLETE,
P010,P010_MC_AlloyII,True,True,True,True,True,True,COMPLETE,
P010,P010_MC_AlloyIII,True,True,True,True,True,True,COMPLETE,
P011,P011_MC_A9_298K,True,True,True,True,True,True,COMPLETE,
P011,P011_MC_A10_298K,True,True,True,True,True,True,COMPLETE,
P011,P011_MC_A11_298K,True,True,True,True,True,True,COMPLETE,
P011,P011_MC_A10_77K,True,True,True,True,True,True,COMPLETE,
P012,P012_MC_BASE_RT,True,True,True,True,True,True,COMPLETE,
P012,P012_MC_MO_RT,True,True,True,True,True,True,COMPLETE,
P012,P012_MC_C_RT,True,True,True,True,True,True,COMPLETE,
P012,P012_MC_BASE_77K,True,True,True,True,True,True,COMPLETE,
P012,P012_MC_MO_77K,True,True,True,True,True,True,COMPLETE,
P012,P012_MC_C_77K,True,True,True,True,True,True,COMPLETE,
P013,P013_MC_ASCAST_RT,True,True,True,True,True,True,COMPLETE,
P014,P014_MC_ASCAST,True,True,True,True,True,True,COMPLETE,
P014,P014_MC_CR,True,True,True,True,True,True,COMPLETE,
P014,P014_MC_A600,True,True,True,True,True,True,COMPLETE,
P014,P014_MC_A650,True,True,True,True,True,True,COMPLETE,
P014,P014_MC_A700,True,True,True,True,True,True,COMPLETE,
P015,P015_MC_298K,True,True,True,True,True,True,COMPLETE,
P015,P015_MC_77K,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A05_300K_SR1E10,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A05_700K_SR1E10,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A05_1000K_SR1E10,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A05_1300K_SR1E10,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A05_300K_SR1E9,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A05_300K_SR1E8,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A15_300K_SR1E10,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A15_700K_SR1E10,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A15_1000K_SR1E10,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A15_1300K_SR1E10,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A15_300K_SR1E9,True,True,True,True,True,True,COMPLETE,
P017,P017_SIM_A15_300K_SR1E8,True,True,True,True,True,True,COMPLETE,
