Paper_ID,ML_Condition_ID,Target,Source_Target_Field,Source_Label,Analysis_Label,Evidence_Quality_Flag,TWIP_Phase_Source,TWIP_Phase_Category,Analysis_Decision,Master_Label_Changed
P001,P001_MC01,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P001,P001_MC01,T2_ANY_TWIP,Effective_TWIP,0.0,0.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P001,P001_MC01,T2_FCC_TWIP_STRICT,Effective_TWIP,0.0,0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P001,P001_MC02,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P001,P001_MC02,T2_ANY_TWIP,Effective_TWIP,0.0,0.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P001,P001_MC02,T2_FCC_TWIP_STRICT,Effective_TWIP,0.0,0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P001,P001_MC03,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P001,P001_MC03,T2_ANY_TWIP,Effective_TWIP,0.0,0.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P001,P001_MC03,T2_FCC_TWIP_STRICT,Effective_TWIP,0.0,0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P003,P003_MC01,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P003,P003_MC01,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P003,P003_MC01,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P003,P003_MC02,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC02,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC02,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC03,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC03,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC03,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC04,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P003,P003_MC04,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P003,P003_MC04,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P003,P003_MC05,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC05,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC05,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC06,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC06,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC06,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P003,P003_MC07,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P003,P003_MC07,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P003,P003_MC07,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P007,P007_MC_A600_1h,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P007,P007_MC_A600_1h,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P007,P007_MC_A600_1h,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P007,P007_MC_A600_2h,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P007,P007_MC_A600_2h,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P007,P007_MC_A600_2h,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P007,P007_MC_A600_5h,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P007,P007_MC_A600_5h,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P007,P007_MC_A600_5h,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P007,P007_MC_A600_10h,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P007,P007_MC_A600_10h,T2_ANY_TWIP,Effective_TWIP,0.0,0.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P007,P007_MC_A600_10h,T2_FCC_TWIP_STRICT,Effective_TWIP,0.0,0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P007,P007_MC_A600_72h,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P007,P007_MC_A600_72h,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
