Target,Evidence_Pool,Design_ID,Strategy,k,Fold,Train_n,Test_n,Train_Positive_n,Train_Negative_n,Test_Positive_n,Test_Negative_n,Train_Group_n,Test_Group_n,Train_Groups,Test_Groups,Group_Overlap,Group_Overlap_n,Paper_Overlap,Paper_Overlap_n,Study_Series_Overlap,Material_Parent_Overlap,Material_Family_Overlap,Both_Classes_Train,Both_Classes_Test,M2_Complete,Fold_Valid,Design_Feasible,Selected,Rejection_Reason
T1_TRIP,ALL_VERIFIED_USABLE,T1_TRIP__ALL_VERIFIED_USABLE__UNSUPPORTED,NOT_CURRENTLY_VALIDATABLE,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,False,False,True,False,False,False,ONLY_ONE_OR_ZERO_NEGATIVE_GROUPS
T1_TRIP,STRICT_DIRECT_EVIDENCE_ONLY,T1_TRIP__STRICT_DIRECT_EVIDENCE_ONLY__UNSUPPORTED,NOT_CURRENTLY_VALIDATABLE,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,False,False,True,False,False,False,ONLY_ONE_OR_ZERO_NEGATIVE_GROUPS
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K2,GROUP_KFOLD,2,1,9,9,5,4,8,1,4,3,P007_SERIES01|P008_SERIES01|P021_SERIES01|PAPER::P001,P011_SERIES01|P012_SERIES01|PAPER::P003,,0,,0,,,,True,True,True,True,True,False,
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K2,GROUP_KFOLD,2,2,9,9,8,1,5,4,3,4,P011_SERIES01|P012_SERIES01|PAPER::P003,P007_SERIES01|P008_SERIES01|P021_SERIES01|PAPER::P001,,0,,0,,,,True,True,True,True,True,False,
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,1,12,6,8,4,5,1,5,2,P007_SERIES01|P008_SERIES01|P021_SERIES01|PAPER::P001|PAPER::P003,P011_SERIES01|P012_SERIES01,,0,,0,,,FORMULA::FE50MN30CO10CR10,True,True,True,True,True,True,
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,2,12,6,8,4,5,1,4,3,P011_SERIES01|P012_SERIES01|PAPER::P001|PAPER::P003,P007_SERIES01|P008_SERIES01|P021_SERIES01,,0,,0,,,,True,True,True,True,True,True,
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,3,12,6,10,2,3,3,5,2,P007_SERIES01|P008_SERIES01|P011_SERIES01|P012_SERIES01|P021_SERIES01,PAPER::P001|PAPER::P003,,0,,0,,,FORMULA::FE50MN30CO10CR10,True,True,True,True,True,True,
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K4,GROUP_KFOLD,4,1,13,5,8,5,5,0,5,2,P007_SERIES01|P011_SERIES01|P021_SERIES01|PAPER::P001|PAPER::P003,P008_SERIES01|P012_SERIES01,,0,,0,,,,True,False,True,False,False,False,CLASS_SUPPORT_OR_GROUP_SEPARATION_FAILURE
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K4,GROUP_KFOLD,4,2,14,4,10,4,3,1,6,1,P008_SERIES01|P011_SERIES01|P012_SERIES01|P021_SERIES01|PAPER::P001|PAPER::P003,P007_SERIES01,,0,,0,,,,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K4,GROUP_KFOLD,4,3,13,5,9,4,4,1,5,2,P007_SERIES01|P008_SERIES01|P012_SERIES01|P021_SERIES01|PAPER::P001,P011_SERIES01|PAPER::P003,,0,,0,,,,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K4,GROUP_KFOLD,4,4,14,4,12,2,1,3,5,2,P007_SERIES01|P008_SERIES01|P011_SERIES01|P012_SERIES01|PAPER::P003,P021_SERIES01|PAPER::P001,,0,,0,,,,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K5,GROUP_KFOLD,5,1,14,4,9,5,4,0,6,1,P007_SERIES01|P008_SERIES01|P011_SERIES01|P021_SERIES01|PAPER::P001|PAPER::P003,P012_SERIES01,,0,,0,,,,True,False,True,False,False,False,CLASS_SUPPORT_OR_GROUP_SEPARATION_FAILURE
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K5,GROUP_KFOLD,5,2,14,4,10,4,3,1,6,1,P008_SERIES01|P011_SERIES01|P012_SERIES01|P021_SERIES01|PAPER::P001|PAPER::P003,P007_SERIES01,,0,,0,,,,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K5,GROUP_KFOLD,5,3,14,4,9,5,4,0,5,2,P007_SERIES01|P011_SERIES01|P012_SERIES01|P021_SERIES01|PAPER::P001,P008_SERIES01|PAPER::P003,,0,,0,,,FORMULA::FE50MN30CO10CR10,True,False,True,False,False,False,CLASS_SUPPORT_OR_GROUP_SEPARATION_FAILURE
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K5,GROUP_KFOLD,5,4,15,3,13,2,0,3,6,1,P007_SERIES01|P008_SERIES01|P011_SERIES01|P012_SERIES01|P021_SERIES01|PAPER::P003,PAPER::P001,,0,,0,,,,True,False,True,False,False,False,CLASS_SUPPORT_OR_GROUP_SEPARATION_FAILURE
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K5,GROUP_KFOLD,5,5,15,3,11,4,2,1,5,2,P007_SERIES01|P008_SERIES01|P012_SERIES01|PAPER::P001|PAPER::P003,P011_SERIES01|P021_SERIES01,,0,,0,,,FORMULA::FE50MN30CO10CR10,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K2,GROUP_KFOLD,2,1,8,9,4,4,8,1,3,3,P007_SERIES01|P008_SERIES01|PAPER::P001,P011_SERIES01|P012_SERIES01|PAPER::P003,,0,,0,,,,True,True,True,True,True,False,
