Paper_ID,DOI,Safeguard_ID,Safeguard,Rule,Status,Data_Origin,Source_URL
P020,10.1080/21663831.2018.1523239,S001,INITIAL_HCP_NOT_TRIP,Initial 0.21 HCP is pre-existing; assign TRIP only from dynamic FCC loss.,ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S002,PHASE_SPECIFIC_TWIP,"P020 TWIP is HCP tensile/compression twinning, never FCC twinning.",ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S003,STAGE_NON_INDEPENDENCE,All six in-situ observations are correlated children of one condition.,ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S004,STAGE_ZERO_SCOPE,Stage-I pre-yield zeros never become condition-level mechanism negatives.,ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S005,MISSING_SUPPLEMENT_NO_INFERENCE,"Test temperature, rate, geometry, and replicate count remain NA.",ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S006,APPARENT_YIELD_DEFINITION,"Approximately 200 MPa is observable elastic-deviation onset, not 0.2% offset YS.",ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S007,FRACTURE_COMPLEMENT_NOT_DERIVED,Direct FCC approximately 0.17 is retained; exact HCP 0.83 is not fabricated.,ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S008,NO_CROSS_PAPER_PHYSICS,P020 SFE and DeltaG remain NA; no Fe50Mn30Co10Cr10 value is transferred.,ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S009,COMMON_COMPOSITION_NOT_SAME_SAMPLE,P020 remains separate from P003/P011/P013/P014 despite nominal text.,ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S010,MECHANICAL_OUTCOME_LEAKAGE,"Yield onset, strength, and elongation are post-loading outcomes.",ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S011,TRIP_RATE_SUPPRESSION_NOT_ABSENCE,Slower transformation above approximately 25% strain remains TRIP-positive.,ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
P020,10.1080/21663831.2018.1523239,S012,NO_MODEL_OR_FEATURE_ENGINEERING,"Recovery v14 creates no model, metric, imputation, normalization, or descriptor.",ENFORCED,EXPERIMENTAL,https://doi.org/10.1080/21663831.2018.1523239
