Column_Name,Scientific_Family,Prediction_Time_Class,Feature_Priority,Coverage_Count_51,Coverage_Percent_51,Scientific_Reason,Recommended_Use,Notes
Paper_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,NOT_ELIGIBLE,51,100.0,Identity fields may memorize study or condition.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
DOI,IDENTITY_GROUPING,IDENTIFIER_ONLY,NOT_ELIGIBLE,51,100.0,Identity fields may memorize study or condition.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Paper_Title,PROVENANCE_QC,METADATA_ONLY,NOT_ELIGIBLE,41,80.39,Descriptive metadata has no approved V1 predictor role.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Condition_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,NOT_ELIGIBLE,51,100.0,Identity fields may memorize study or condition.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Experiment_Group_ID,IDENTITY_GROUPING,GROUPING_ONLY,NOT_ELIGIBLE,21,41.18,Reserved for dependence-aware splitting.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Original_Experiment_Group_ID,IDENTITY_GROUPING,GROUPING_ONLY,NOT_ELIGIBLE,21,41.18,Reserved for dependence-aware splitting.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Row_Type,PROVENANCE_QC,METADATA_ONLY,NOT_ELIGIBLE,26,50.98,Descriptive metadata has no approved V1 predictor role.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Alloy_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,NOT_ELIGIBLE,42,82.35,Identity fields may memorize study or condition.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Original_Composition,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,OPTIONAL_V1,36,70.59,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Composition_basis,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,OPTIONAL_V1,42,82.35,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Fe_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CORE_V1,42,82.35,Central alloy chemistry with broad direct coverage; missing remains NA.,BASELINE_CANDIDATE_AFTER_SPLIT_DESIGN_AND_REPRESENTATION_POLICY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Mn_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CORE_V1,42,82.35,Mechanism-relevant matrix chemistry with broad direct coverage; missing remains NA.,BASELINE_CANDIDATE_AFTER_SPLIT_DESIGN_AND_REPRESENTATION_POLICY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Co_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CORE_V1,40,78.43,Central multicomponent chemistry with broad direct coverage; missing remains NA.,BASELINE_CANDIDATE_AFTER_SPLIT_DESIGN_AND_REPRESENTATION_POLICY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Cr_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CORE_V1,42,82.35,Central multicomponent chemistry with broad direct coverage; missing remains NA.,BASELINE_CANDIDATE_AFTER_SPLIT_DESIGN_AND_REPRESENTATION_POLICY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Ni_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,18,35.29,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
N_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,1,1.96,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
C_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,9,17.65,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Mo_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,7,13.73,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Si_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,3,5.88,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Ti_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,5,9.8,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
V_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,5,9.8,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Other_elements,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,OPTIONAL_V1,0,0.0,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Processing_route,PROCESSING,PREDICTOR_SAFE_DIRECT,CORE_V1,42,82.35,Processing history is scientifically essential and broadly reported; raw text remains unencoded.,BASELINE_CANDIDATE_AFTER_SPLIT_DESIGN_AND_REPRESENTATION_POLICY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Cast_method,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,30,58.82,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Homogenization_T_K,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,32,62.75,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Homogenization_time_h,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,32,62.75,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Hot_rolling_T_K,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,22,43.14,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Hot_rolling_reduction_pct,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,22,43.14,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Cold_rolling_reduction_pct,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,35,68.63,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Annealing_T_K,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,41,80.39,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Annealing_time_min,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,37,72.55,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Cooling_route,PROCESSING,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,27,52.94,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Test_T_K,TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,CORE_V1,33,64.71,Planned temperature is mechanism-defining and available before loading.,BASELINE_CANDIDATE_AFTER_SPLIT_DESIGN_AND_REPRESENTATION_POLICY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Strain_rate_s-1,TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,CORE_V1,47,92.16,Planned rate is mechanism-defining and available before loading.,BASELINE_CANDIDATE_AFTER_SPLIT_DESIGN_AND_REPRESENTATION_POLICY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Gauge_length_mm,TEST_CONDITIONS,METADATA_ONLY,NOT_ELIGIBLE,34,66.67,Descriptive metadata has no approved V1 predictor role.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Gauge_width_mm,TEST_CONDITIONS,METADATA_ONLY,NOT_ELIGIBLE,27,52.94,Descriptive metadata has no approved V1 predictor role.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
